$BUILT 2023-04-02 12:44:13
$AUTHOR Green Frisbee
$ENGLISH Compression Method Baseball

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1024
#SIZE_Y 160
#BACKGROUND_RED 48
#BACKGROUND_GREEN 192
#BACKGROUND_BLUE 96

#INITIAL 999
#REQUIRED 1
#SPAWN_INTERVAL 12

#BATTER 1
#EXPLODER2 0

:matt/goldmine/Hatch.H: 408 104
:matt/bricks/Hatch.H: -8 104
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
:matt/goldmine/Hatch.H: 304 104 r
