$BUILT 2023-03-22 02:21:16
$AUTHOR Green Frisbee
$ENGLISH Wait for it...

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 224
#SIZE_Y 160
#BACKGROUND_RED 0
#BACKGROUND_GREEN 96
#BACKGROUND_BLUE 0

#INITIAL 999
#REQUIRED 1
#SPAWN_INTERVAL 96

#EXPLODER2 0

:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
:matt/marble/Hatch.H: 40 72
