$BUILT 2023-03-20 16:17:01
$AUTHOR Green Frisbee
$ENGLISH The Monty Hall Problem (68% v. 10%)

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 3200
#SIZE_Y 1648
#BACKGROUND_RED 183
#BACKGROUND_GREEN 170
#BACKGROUND_BLUE 132

#INITIAL 6
#REQUIRED 4
#SPAWN_INTERVAL 1

#DIGGER 6
#EXPLODER2 0

:geoo/construction/Hatch.H: 40 0
:geoo/construction/Hatch.H: 40 278
:geoo/construction/Hatch.H: 40 556
:geoo/construction/Hatch.H: 40 834
:geoo/construction/Hatch.H: 40 1112
:geoo/construction/Hatch.H: 40 1390

:geoo/abstract/goal.G: 3048 104
:geoo/abstract/goal.G: 3048 478
:geoo/abstract/goal.G: 3048 660
:geoo/abstract/goal.G: 3048 938
:geoo/abstract/goal.G: 3048 1264
:geoo/abstract/goal.G: 3048 1494

:raymanni/lab/launcher_right.T: 208 112
:raymanni/lab/launcher_right.T: 208 160
:raymanni/lab/launcher_right.T: 208 208
:raymanni/lab/launcher_right.T: 520 112
:raymanni/lab/launcher_right.T: 520 160
:raymanni/lab/launcher_right.T: 520 208
:raymanni/lab/launcher_right.T: 832 112
:raymanni/lab/launcher_right.T: 832 160
:raymanni/lab/launcher_right.T: 832 208
:raymanni/lab/launcher_right.T: 1144 112
:raymanni/lab/launcher_right.T: 1144 160
:raymanni/lab/launcher_right.T: 1144 208
:raymanni/lab/launcher_right.T: 1456 112
:raymanni/lab/launcher_right.T: 1456 160
:raymanni/lab/launcher_right.T: 1456 208
:raymanni/lab/launcher_right.T: 1768 112
:raymanni/lab/launcher_right.T: 1768 160
:raymanni/lab/launcher_right.T: 1768 208
:raymanni/lab/launcher_right.T: 2080 112
:raymanni/lab/launcher_right.T: 2080 160
:raymanni/lab/launcher_right.T: 2080 208
:raymanni/lab/launcher_right.T: 2392 112
:raymanni/lab/launcher_right.T: 2392 160
:raymanni/lab/launcher_right.T: 2392 208
:raymanni/lab/launcher_right.T: 2704 112
:raymanni/lab/launcher_right.T: 2704 160
:raymanni/lab/launcher_right.T: 2704 208
:geoo/abstract/tbeam_right.T: 3008 112
:geoo/abstract/tbeam_right.T: 3008 160
:geoo/abstract/tbeam_right.T: 3008 208
:raymanni/lab/launcher_right.T: 208 390
:raymanni/lab/launcher_right.T: 208 438
:raymanni/lab/launcher_right.T: 208 486
:raymanni/lab/launcher_right.T: 520 390
:raymanni/lab/launcher_right.T: 520 438
:raymanni/lab/launcher_right.T: 520 486
:raymanni/lab/launcher_right.T: 832 390
:raymanni/lab/launcher_right.T: 832 438
:raymanni/lab/launcher_right.T: 832 486
:raymanni/lab/launcher_right.T: 1144 390
:raymanni/lab/launcher_right.T: 1144 438
:raymanni/lab/launcher_right.T: 1144 486
:raymanni/lab/launcher_right.T: 1456 390
:raymanni/lab/launcher_right.T: 1456 438
:raymanni/lab/launcher_right.T: 1456 486
:raymanni/lab/launcher_right.T: 1768 390
:raymanni/lab/launcher_right.T: 1768 438
:raymanni/lab/launcher_right.T: 1768 486
:raymanni/lab/launcher_right.T: 2080 390
:raymanni/lab/launcher_right.T: 2080 438
:raymanni/lab/launcher_right.T: 2080 486
:raymanni/lab/launcher_right.T: 2392 390
:raymanni/lab/launcher_right.T: 2392 438
:raymanni/lab/launcher_right.T: 2392 486
:raymanni/lab/launcher_right.T: 2704 390
:raymanni/lab/launcher_right.T: 2704 438
:raymanni/lab/launcher_right.T: 2704 486
:geoo/abstract/tbeam_right.T: 3008 390
:geoo/abstract/tbeam_right.T: 3008 438
:geoo/abstract/tbeam_right.T: 3008 486
:raymanni/lab/launcher_right.T: 208 668
:raymanni/lab/launcher_right.T: 208 716
:raymanni/lab/launcher_right.T: 208 764
:raymanni/lab/launcher_right.T: 520 668
:raymanni/lab/launcher_right.T: 520 716
:raymanni/lab/launcher_right.T: 520 764
:raymanni/lab/launcher_right.T: 832 668
:raymanni/lab/launcher_right.T: 832 716
:raymanni/lab/launcher_right.T: 832 764
:raymanni/lab/launcher_right.T: 1144 668
:raymanni/lab/launcher_right.T: 1144 716
:raymanni/lab/launcher_right.T: 1144 764
:raymanni/lab/launcher_right.T: 1456 668
:raymanni/lab/launcher_right.T: 1456 716
:raymanni/lab/launcher_right.T: 1456 764
:raymanni/lab/launcher_right.T: 1768 668
:raymanni/lab/launcher_right.T: 1768 716
:raymanni/lab/launcher_right.T: 1768 764
:raymanni/lab/launcher_right.T: 2080 668
:raymanni/lab/launcher_right.T: 2080 716
:raymanni/lab/launcher_right.T: 2080 764
:raymanni/lab/launcher_right.T: 2392 668
:raymanni/lab/launcher_right.T: 2392 716
:raymanni/lab/launcher_right.T: 2392 764
:raymanni/lab/launcher_right.T: 2704 668
:raymanni/lab/launcher_right.T: 2704 716
:raymanni/lab/launcher_right.T: 2704 764
:geoo/abstract/tbeam_right.T: 3008 668
:geoo/abstract/tbeam_right.T: 3008 716
:geoo/abstract/tbeam_right.T: 3008 764
:raymanni/lab/launcher_right.T: 208 946
:raymanni/lab/launcher_right.T: 208 994
:raymanni/lab/launcher_right.T: 208 1042
:raymanni/lab/launcher_right.T: 520 946
:raymanni/lab/launcher_right.T: 520 994
:raymanni/lab/launcher_right.T: 520 1042
:raymanni/lab/launcher_right.T: 832 946
:raymanni/lab/launcher_right.T: 832 994
:raymanni/lab/launcher_right.T: 832 1042
:raymanni/lab/launcher_right.T: 1144 946
:raymanni/lab/launcher_right.T: 1144 994
:raymanni/lab/launcher_right.T: 1144 1042
:raymanni/lab/launcher_right.T: 1456 946
:raymanni/lab/launcher_right.T: 1456 994
:raymanni/lab/launcher_right.T: 1456 1042
:raymanni/lab/launcher_right.T: 1768 946
:raymanni/lab/launcher_right.T: 1768 994
:raymanni/lab/launcher_right.T: 1768 1042
:raymanni/lab/launcher_right.T: 2080 946
:raymanni/lab/launcher_right.T: 2080 994
:raymanni/lab/launcher_right.T: 2080 1042
:raymanni/lab/launcher_right.T: 2392 946
:raymanni/lab/launcher_right.T: 2392 994
:raymanni/lab/launcher_right.T: 2392 1042
:raymanni/lab/launcher_right.T: 2704 946
:raymanni/lab/launcher_right.T: 2704 994
:raymanni/lab/launcher_right.T: 2704 1042
:geoo/abstract/tbeam_right.T: 3008 946
:geoo/abstract/tbeam_right.T: 3008 994
:geoo/abstract/tbeam_right.T: 3008 1042
:raymanni/lab/launcher_right.T: 208 1224
:raymanni/lab/launcher_right.T: 208 1272
:raymanni/lab/launcher_right.T: 208 1320
:raymanni/lab/launcher_right.T: 520 1224
:raymanni/lab/launcher_right.T: 520 1272
:raymanni/lab/launcher_right.T: 520 1320
:raymanni/lab/launcher_right.T: 832 1224
:raymanni/lab/launcher_right.T: 832 1272
:raymanni/lab/launcher_right.T: 832 1320
:raymanni/lab/launcher_right.T: 1144 1224
:raymanni/lab/launcher_right.T: 1144 1272
:raymanni/lab/launcher_right.T: 1144 1320
:raymanni/lab/launcher_right.T: 1456 1224
:raymanni/lab/launcher_right.T: 1456 1272
:raymanni/lab/launcher_right.T: 1456 1320
:raymanni/lab/launcher_right.T: 1768 1224
:raymanni/lab/launcher_right.T: 1768 1272
:raymanni/lab/launcher_right.T: 1768 1320
:raymanni/lab/launcher_right.T: 2080 1224
:raymanni/lab/launcher_right.T: 2080 1272
:raymanni/lab/launcher_right.T: 2080 1320
:raymanni/lab/launcher_right.T: 2392 1224
:raymanni/lab/launcher_right.T: 2392 1272
:raymanni/lab/launcher_right.T: 2392 1320
:raymanni/lab/launcher_right.T: 2704 1224
:raymanni/lab/launcher_right.T: 2704 1272
:raymanni/lab/launcher_right.T: 2704 1320
:geoo/abstract/tbeam_right.T: 3008 1224
:geoo/abstract/tbeam_right.T: 3008 1272
:geoo/abstract/tbeam_right.T: 3008 1320
:raymanni/lab/launcher_right.T: 208 1502
:raymanni/lab/launcher_right.T: 208 1550
:raymanni/lab/launcher_right.T: 208 1598
:raymanni/lab/launcher_right.T: 520 1502
:raymanni/lab/launcher_right.T: 520 1550
:raymanni/lab/launcher_right.T: 520 1598
:raymanni/lab/launcher_right.T: 832 1502
:raymanni/lab/launcher_right.T: 832 1550
:raymanni/lab/launcher_right.T: 832 1598
:raymanni/lab/launcher_right.T: 1144 1502
:raymanni/lab/launcher_right.T: 1144 1550
:raymanni/lab/launcher_right.T: 1144 1598
:raymanni/lab/launcher_right.T: 1456 1502
:raymanni/lab/launcher_right.T: 1456 1550
:raymanni/lab/launcher_right.T: 1456 1598
:raymanni/lab/launcher_right.T: 1768 1502
:raymanni/lab/launcher_right.T: 1768 1550
:raymanni/lab/launcher_right.T: 1768 1598
:raymanni/lab/launcher_right.T: 2080 1502
:raymanni/lab/launcher_right.T: 2080 1550
:raymanni/lab/launcher_right.T: 2080 1598
:raymanni/lab/launcher_right.T: 2392 1502
:raymanni/lab/launcher_right.T: 2392 1550
:raymanni/lab/launcher_right.T: 2392 1598
:raymanni/lab/launcher_right.T: 2704 1502
:raymanni/lab/launcher_right.T: 2704 1550
:raymanni/lab/launcher_right.T: 2704 1598
:geoo/abstract/tbeam_right.T: 3008 1502
:geoo/abstract/tbeam_right.T: 3008 1550
:geoo/abstract/tbeam_right.T: 3008 1598

$BEGIN_TILE_GROUP 0
:geoo/abstract/pipes/cshort0: 8 0
:geoo/abstract/pipes/endr0: 16 0
:geoo/abstract/pipes/corner0: 0 0 r
:geoo/abstract/pipes/corner0: 0 16
:geoo/abstract/pipes/cshort0: 8 16
:geoo/abstract/pipes/endr0: 16 16
:geoo/abstract/pipes/endr0: 8 8
:geoo/abstract/pipes/junct0: 0 8 r
$END_TILE_GROUP
$BEGIN_TILE_GROUP 1
:geoo/abstract/pipes/endr0: 0 16 r
:geoo/abstract/pipes/endr0: 0 0 rrr
:geoo/abstract/pipes/junct0: 0 8 r
:geoo/abstract/pipes/junct0: 16 8 rrr
:geoo/abstract/pipes/endr0: 16 16 r
:geoo/abstract/pipes/endr0: 16 0 rrr
:geoo/abstract/pipes/cshort0: 8 8
$END_TILE_GROUP
$BEGIN_TILE_GROUP 2
:geoo/abstract/pipes/endr0: 16 0
:geoo/abstract/pipes/endr0: 0 0 rr
:geoo/abstract/pipes/junct0: 8 0 rr
:geoo/abstract/pipes/cshort0: 8 8 r
:geoo/abstract/pipes/endr0: 8 16 r
$END_TILE_GROUP
$BEGIN_TILE_GROUP 3
:Group-0: 64 0
:Group-1: 32 0
:Group-2: 0 0
$END_TILE_GROUP
$BEGIN_TILE_GROUP 4
:geoo/abstract/pipes/cshort0: 8 0
:geoo/abstract/pipes/corner0: 0 0 r
:geoo/abstract/pipes/cshort0: 16 8 r
:geoo/abstract/pipes/corner0: 16 0 rr
:geoo/abstract/pipes/cshort0: 8 16 rr
:geoo/abstract/pipes/corner0: 16 16 rrr
:geoo/abstract/pipes/cshort0: 0 8 rrr
:geoo/abstract/pipes/corner0: 0 16
$END_TILE_GROUP
$BEGIN_TILE_GROUP 5
:geoo/abstract/pipes/endr0: 0 16 r
:geoo/abstract/pipes/cshort0: 0 8 r
:geoo/abstract/pipes/cshort0: 8 8 r
:geoo/abstract/pipes/cshort0: 16 8 r
:geoo/abstract/pipes/corner0: 8 16
:geoo/abstract/pipes/corner0: 0 0 r
:geoo/abstract/pipes/corner0: 8 0 rr
:geoo/abstract/pipes/corner0: 16 16 rrr
:geoo/abstract/pipes/endr0: 16 0 rrr
$END_TILE_GROUP
$BEGIN_TILE_GROUP 6
:geoo/abstract/pipes/endr0: 0 16 rr
:geoo/abstract/pipes/corner0: 8 16 rrr
:geoo/abstract/pipes/junct0: 8 8 rrr
:geoo/abstract/pipes/endr0: 8 0 rrr
:geoo/abstract/pipes/endr0: 0 0 rrr
:geoo/abstract/pipes/corner0: 0 8
$END_TILE_GROUP
$BEGIN_TILE_GROUP 7
:geoo/abstract/pipes/endr0: 0 16 r
:geoo/abstract/pipes/endr0: 16 16 r
:geoo/abstract/pipes/endr0: 8 16 r
:geoo/abstract/pipes/corner0: 0 0 r
:geoo/abstract/pipes/corner0: 16 0 rr
:geoo/abstract/pipes/junct0: 8 0 rr
:geoo/abstract/pipes/cshort0: 0 8 r
:geoo/abstract/pipes/cshort0: 16 8 r
:geoo/abstract/pipes/cshort0: 8 8 r
$END_TILE_GROUP
$BEGIN_TILE_GROUP 8
:Group-7: 0 0
:Group-4: 32 0
:Group-5: 64 0
:Group-2: 96 0
:Group-6: 128 0
$END_TILE_GROUP
$BEGIN_TILE_GROUP 9
:geoo/abstract/pipes/endr0: 0 0 rr
:geoo/abstract/pipes/cshort0: 8 0
:geoo/abstract/pipes/corner0: 16 0 rr
