$BUILT 2023-03-18 00:40:39
$AUTHOR Green Frisbee
$ENGLISH Climb and Land (no platformers)

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 320
#SIZE_Y 336
#BACKGROUND_RED 78
#BACKGROUND_GREEN 192
#BACKGROUND_BLUE 145

#INITIAL 999
#REQUIRED 2
#SPAWN_INTERVAL 1

#EXPLODER2 -1
#BASHER 1
#JUMPER 1

:matt/goldmine/Hatch.H: -16 136
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
:geoo/sandstone/fennec.H: 136 240 r
