$BUILT 2023-02-17 15:11:05
$AUTHOR Green Frisbee
$ENGLISH Odd One Out

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 3200
#SIZE_Y 1004
#BACKGROUND_RED 255
#BACKGROUND_GREEN 208
#BACKGROUND_BLUE 0

#INITIAL 999
#REQUIRED 999
#SPAWN_INTERVAL 1

#WALKER 1
#RUNNER 1
#CLIMBER 1
#FLOATER 1
#EXPLODER2 1
#BLOCKER 1
#BUILDER 1
#PLATFORMER 1
#BASHER 1
#MINER 1
#DIGGER 1
#JUMPER 1
#BATTER 1
#CUBER 1


:geoo/abstract/hatch.H: 0 4
:geoo/abstract/hatch.H: 0 54
:geoo/abstract/hatch.H: 0 104
:geoo/abstract/hatch.H: 0 154
:geoo/abstract/hatch.H: 0 204
:geoo/abstract/hatch.H: 0 254
:geoo/abstract/hatch.H: 0 304
:geoo/abstract/hatch.H: 0 354
:geoo/abstract/hatch.H: 0 404
:geoo/abstract/hatch.H: 0 454
:geoo/abstract/hatch.H: 0 504
:geoo/abstract/hatch.H: 0 554
:geoo/abstract/hatch.H: 0 604
:geoo/abstract/hatch.H: 0 654
:geoo/abstract/hatch.H: 0 704
:geoo/abstract/hatch.H: 0 754
:geoo/abstract/hatch.H: 0 804
:geoo/abstract/hatch.H: 0 854
:geoo/abstract/hatch.H: 0 904
:geoo/abstract/hatch.H: 0 954
:geoo/abstract/hatch.H: 64 4
:geoo/abstract/hatch.H: 64 54
:geoo/abstract/hatch.H: 64 104
:geoo/abstract/hatch.H: 64 154
:geoo/abstract/hatch.H: 64 204
:geoo/abstract/hatch.H: 64 254
:geoo/abstract/hatch.H: 64 304
:geoo/abstract/hatch.H: 64 354
:geoo/abstract/hatch.H: 64 404
:geoo/abstract/hatch.H: 64 454
:geoo/abstract/hatch.H: 64 504
:geoo/abstract/hatch.H: 64 554
:geoo/abstract/hatch.H: 64 604
:geoo/abstract/hatch.H: 64 654
:geoo/abstract/hatch.H: 64 704
:geoo/abstract/hatch.H: 64 754
:geoo/abstract/hatch.H: 64 804
:geoo/abstract/hatch.H: 64 854
:geoo/abstract/hatch.H: 64 904
:geoo/abstract/hatch.H: 64 954
:geoo/abstract/hatch.H: 128 4
:geoo/abstract/hatch.H: 128 54
:geoo/abstract/hatch.H: 128 104
:geoo/abstract/hatch.H: 128 154
:geoo/abstract/hatch.H: 128 204
:geoo/abstract/hatch.H: 128 254
:geoo/abstract/hatch.H: 128 304
:geoo/abstract/hatch.H: 128 354
:geoo/abstract/hatch.H: 128 404
:geoo/abstract/hatch.H: 128 454
:geoo/abstract/hatch.H: 128 504
:geoo/abstract/hatch.H: 128 554
:geoo/abstract/hatch.H: 128 604
:geoo/abstract/hatch.H: 128 654
:geoo/abstract/hatch.H: 128 704
:geoo/abstract/hatch.H: 128 754
:geoo/abstract/hatch.H: 128 804
:geoo/abstract/hatch.H: 128 854
:geoo/abstract/hatch.H: 128 904
:geoo/abstract/hatch.H: 128 954
:geoo/abstract/hatch.H: 192 4
:geoo/abstract/hatch.H: 192 54
:geoo/abstract/hatch.H: 192 104
:geoo/abstract/hatch.H: 192 154
:geoo/abstract/hatch.H: 192 204
:geoo/abstract/hatch.H: 192 254
:geoo/abstract/hatch.H: 192 304
:geoo/abstract/hatch.H: 192 354
:geoo/abstract/hatch.H: 192 404
:geoo/abstract/hatch.H: 192 454
:geoo/abstract/hatch.H: 192 504
:geoo/abstract/hatch.H: 192 554
:geoo/abstract/hatch.H: 192 604
:geoo/abstract/hatch.H: 192 654
:geoo/abstract/hatch.H: 192 704
:geoo/abstract/hatch.H: 192 754
:geoo/abstract/hatch.H: 192 804
:geoo/abstract/hatch.H: 192 854
:geoo/abstract/hatch.H: 192 904
:geoo/abstract/hatch.H: 192 954
:geoo/abstract/hatch.H: 256 4
:geoo/abstract/hatch.H: 256 54
:geoo/abstract/hatch.H: 256 104
:geoo/abstract/hatch.H: 256 154
:geoo/abstract/hatch.H: 256 204
:geoo/abstract/hatch.H: 256 254
:geoo/abstract/hatch.H: 256 304
:geoo/abstract/hatch.H: 256 354
:geoo/abstract/hatch.H: 256 404
:geoo/abstract/hatch.H: 256 454
:geoo/abstract/hatch.H: 256 504
:geoo/abstract/hatch.H: 256 554
:geoo/abstract/hatch.H: 256 604
:geoo/abstract/hatch.H: 256 654
:geoo/abstract/hatch.H: 256 704
:geoo/abstract/hatch.H: 256 754
:geoo/abstract/hatch.H: 256 804
:geoo/abstract/hatch.H: 256 854
:geoo/abstract/hatch.H: 256 904
:geoo/abstract/hatch.H: 256 954
:geoo/abstract/hatch.H: 320 4
:geoo/abstract/hatch.H: 320 54
:geoo/abstract/hatch.H: 320 104
:geoo/abstract/hatch.H: 320 154
:geoo/abstract/hatch.H: 320 204
:geoo/abstract/hatch.H: 320 254
:geoo/abstract/hatch.H: 320 304
:geoo/abstract/hatch.H: 320 354
:geoo/abstract/hatch.H: 320 404
:geoo/abstract/hatch.H: 320 454
:geoo/abstract/hatch.H: 320 504
:geoo/abstract/hatch.H: 320 554
:geoo/abstract/hatch.H: 320 604
:geoo/abstract/hatch.H: 320 654
:geoo/abstract/hatch.H: 320 704
